State,Model,RMSE,MAE,MAPE,is_best
Maryland,XGBoost,2929197.2656597774,760525.5752407664,0.4630676615924799,True
Massachusetts,SARIMA,3416966.325015252,571519.0392470269,0.29602917385013544,True
Massachusetts,Prophet,4272667.874232005,3110820.206693549,1.7489083763384432,False
Massachusetts,XGBoost,3509308.7741485857,1050782.8270264918,0.5660633495149049,False
Michigan,SARIMA,4029854.2445239723,809150.3820923407,0.27169771798704206,True
Michigan,Prophet,7358650.368380865,5304538.327293473,1.8690118773680882,False
Michigan,XGBoost,4198184.348545926,1071947.7927166927,0.36431641272411464,False
Minnesota,SARIMA,1305469.6527989553,321373.9139485439,0.20624317033441394,True
Minnesota,Prophet,2418858.870350899,2111481.6706639086,1.3861482493697221,False
Minnesota,XGBoost,1510036.017602773,706701.5272271383,0.4593800459936269,False
Mississippi,SARIMA,1725944.660070629,713354.5507395054,0.5882852900843881,True
Mississippi,Prophet,7026412.977375307,6409386.4401446795,5.3911510975888906,False
Mississippi,XGBoost,1777913.3026067317,555320.4742576235,0.45209807356502557,False
Missouri,SARIMA,2052577.9034661842,626377.6297449954,0.3251355787475153,True
Missouri,Prophet,3234424.9586759456,2642989.832372043,1.3976486944366007,False
Missouri,XGBoost,2144348.5269710086,754433.5655096291,0.39118478975517157,False
Nebraska,SARIMA,628316.8310485261,478989.34179721226,0.7876399550483778,False
Nebraska,Prophet,2749437.476155465,2632708.235548242,4.295122261908996,False
Nebraska,XGBoost,619650.2613025061,305724.757082664,0.4978145860648932,True
Nevada,SARIMA,1576096.5329651036,395438.6312131443,0.3827400833724812,True
Nevada,Prophet,2374214.9992039637,1523861.278301688,1.5246119477581992,False
Nevada,XGBoost,1727021.858187181,720487.4011035378,0.7098959268456289,False
New Hampshire,SARIMA,688353.7202556037,150358.71829275414,0.2651139340028184,True
New Hampshire,Prophet,1391299.9982285905,969371.7557983175,1.7728279544836443,False
New Hampshire,XGBoost,710329.8825603102,199143.75605938703,0.35390052810388406,False
New Mexico,SARIMA,1291568.984361165,287146.8076801718,0.38802784515582817,True
New Mexico,Prophet,1558003.530842082,1008458.9264039336,1.4245441728942507,False
New Mexico,XGBoost,1330651.6489806804,386991.8007223119,0.5301931972260002,False
New York,SARIMA,6209158.120024813,1124265.1407891673,0.24932586560552106,True
New York,Prophet,11710098.663852451,8133897.633865126,1.9049913062085917,False
New York,XGBoost,6403121.833022639,2180081.6005417355,0.4987252010200941,False
North Carolina,SARIMA,6816460.557939393,1449539.3526628602,0.3981009751632731,True
North Carolina,Prophet,7728205.66775812,3761952.2384028244,1.0732518067120802,False
North Carolina,XGBoost,7084729.272797109,1895202.3934189347,0.5278428425145077,False
Ohio,SARIMA,5966853.362017315,1306777.149925597,0.3445425190419698,True
Ohio,Prophet,7908172.419346447,4248834.820835629,1.1623479927039846,False
Ohio,XGBoost,6032348.416804423,1717958.184129222,0.4587176408670024,False
Oklahoma,SARIMA,1608205.3070107216,392987.86648584105,0.2678218146955988,False
Oklahoma,Prophet,2182154.5186228985,1619540.1639956716,1.127929455107004,False
Oklahoma,XGBoost,1583384.7317465132,545095.372732742,0.3740440820210956,True
Oregon,SARIMA,1126323.325446373,316038.2034956185,0.27754122721276564,True
Oregon,Prophet,1880716.999305726,1290114.5717318037,1.1452943479549595,False
Oregon,XGBoost,1154661.4076955393,560613.438804173,0.4950430224182993,False
Pennsylvania,SARIMA,5039449.864605057,895906.1712565453,0.23965180235901687,True
Pennsylvania,Prophet,7434478.948076961,4645705.988616123,1.3069532857493174,False
