State,Date,Forecast,BestModel
California,2024-01-06,768114752.0,XGBoost
California,2024-01-07,768121152.0,XGBoost
California,2024-01-08,767878144.0,XGBoost
California,2024-01-09,767680000.0,XGBoost
California,2024-01-10,767916288.0,XGBoost
California,2024-01-11,767836352.0,XGBoost
California,2024-01-12,767969152.0,XGBoost
California,2024-01-13,767553408.0,XGBoost
California,2024-01-14,767206656.0,XGBoost
California,2024-01-15,767594368.0,XGBoost
California,2024-01-16,767492800.0,XGBoost
California,2024-01-17,767492800.0,XGBoost
California,2024-01-18,767455744.0,XGBoost
California,2024-01-19,767588544.0,XGBoost
California,2024-01-20,767311872.0,XGBoost
California,2024-01-21,767206656.0,XGBoost
California,2024-01-22,768114240.0,XGBoost
California,2024-01-23,768139712.0,XGBoost
California,2024-01-24,768012608.0,XGBoost
California,2024-01-25,767875392.0,XGBoost
California,2024-01-26,768205568.0,XGBoost
California,2024-01-27,767922176.0,XGBoost
California,2024-01-28,767743616.0,XGBoost
Colorado,2023-12-04,186880384.0,XGBoost
Colorado,2023-12-05,186490592.0,XGBoost
Colorado,2023-12-06,185213104.0,XGBoost
Colorado,2023-12-07,182872288.0,XGBoost
Colorado,2023-12-08,181967872.0,XGBoost
Colorado,2023-12-09,180720224.0,XGBoost
Colorado,2023-12-10,180372736.0,XGBoost
Colorado,2023-12-11,178836832.0,XGBoost
Colorado,2023-12-12,176642912.0,XGBoost
Colorado,2023-12-13,174351776.0,XGBoost
Colorado,2023-12-14,173092592.0,XGBoost
Colorado,2023-12-15,171681536.0,XGBoost
Colorado,2023-12-16,170437600.0,XGBoost
Colorado,2023-12-17,168906560.0,XGBoost
Colorado,2023-12-18,167385200.0,XGBoost
Colorado,2023-12-19,166084256.0,XGBoost
Colorado,2023-12-20,165214160.0,XGBoost
Colorado,2023-12-21,162782336.0,XGBoost
Colorado,2023-12-22,162255792.0,XGBoost
Colorado,2023-12-23,161081344.0,XGBoost
Colorado,2023-12-24,159950448.0,XGBoost
Colorado,2023-12-25,160455920.0,XGBoost
Colorado,2023-12-26,160768256.0,XGBoost
Colorado,2023-12-27,160541200.0,XGBoost
Colorado,2023-12-28,160255744.0,XGBoost
Colorado,2023-12-29,160212400.0,XGBoost
Colorado,2023-12-30,160322704.0,XGBoost
Colorado,2023-12-31,160557072.0,XGBoost
Colorado,2024-01-01,160894496.0,XGBoost
Colorado,2024-01-02,160468736.0,XGBoost
Colorado,2024-01-03,161144768.0,XGBoost
Colorado,2024-01-04,161754160.0,XGBoost
Colorado,2024-01-05,162368224.0,XGBoost
Colorado,2024-01-06,162535504.0,XGBoost
Colorado,2024-01-07,162777344.0,XGBoost
Colorado,2024-01-08,162869952.0,XGBoost
Colorado,2024-01-09,162972992.0,XGBoost
Colorado,2024-01-10,162804112.0,XGBoost
Colorado,2024-01-11,162664464.0,XGBoost
Colorado,2024-01-12,162639664.0,XGBoost
Colorado,2024-01-13,162403632.0,XGBoost
Colorado,2024-01-14,162268368.0,XGBoost
Colorado,2024-01-15,161960384.0,XGBoost
Colorado,2024-01-16,161957824.0,XGBoost
Colorado,2024-01-17,161920192.0,XGBoost
Colorado,2024-01-18,161452832.0,XGBoost
Colorado,2024-01-19,160788608.0,XGBoost
Colorado,2024-01-20,160024016.0,XGBoost
Colorado,2024-01-21,159980416.0,XGBoost
Colorado,2024-01-22,160517328.0,XGBoost
Colorado,2024-01-23,160438416.0,XGBoost
Colorado,2024-01-24,160473280.0,XGBoost
Colorado,2024-01-25,160310736.0,XGBoost
Colorado,2024-01-26,160413808.0,XGBoost
Colorado,2024-01-27,160614304.0,XGBoost
Colorado,2024-01-28,160545440.0,XGBoost
Connecticut,2023-12-04,95229504.0,XGBoost
Connecticut,2023-12-05,95249680.0,XGBoost
Connecticut,2023-12-06,94398312.0,XGBoost
Connecticut,2023-12-07,93091912.0,XGBoost
Connecticut,2023-12-08,91025464.0,XGBoost
Connecticut,2023-12-09,88611208.0,XGBoost
Connecticut,2023-12-10,86905336.0,XGBoost
Connecticut,2023-12-11,83364224.0,XGBoost
Connecticut,2023-12-12,79966576.0,XGBoost
Connecticut,2023-12-13,80762704.0,XGBoost
Connecticut,2023-12-14,81065600.0,XGBoost
Connecticut,2023-12-15,81631616.0,XGBoost
Connecticut,2023-12-16,82501400.0,XGBoost
Connecticut,2023-12-17,83844904.0,XGBoost
Connecticut,2023-12-18,84258416.0,XGBoost
Connecticut,2023-12-19,84750296.0,XGBoost
Connecticut,2023-12-20,85251272.0,XGBoost
Connecticut,2023-12-21,85632688.0,XGBoost
Connecticut,2023-12-22,85836088.0,XGBoost
Connecticut,2023-12-23,86607144.0,XGBoost
Connecticut,2023-12-24,87125144.0,XGBoost
Connecticut,2023-12-25,87555840.0,XGBoost
Connecticut,2023-12-26,87778176.0,XGBoost
Connecticut,2023-12-27,87860168.0,XGBoost
Connecticut,2023-12-28,87902360.0,XGBoost
Connecticut,2023-12-29,88204672.0,XGBoost
Connecticut,2023-12-30,88430272.0,XGBoost
Connecticut,2023-12-31,88616552.0,XGBoost
Connecticut,2024-01-01,85712304.0,XGBoost
Connecticut,2024-01-02,84190536.0,XGBoost
Connecticut,2024-01-03,83348608.0,XGBoost
Connecticut,2024-01-04,82992656.0,XGBoost
Connecticut,2024-01-05,82659520.0,XGBoost
Connecticut,2024-01-06,83085328.0,XGBoost
Connecticut,2024-01-07,82907328.0,XGBoost
Connecticut,2024-01-08,82602192.0,XGBoost
Connecticut,2024-01-09,82676848.0,XGBoost
Connecticut,2024-01-10,82710160.0,XGBoost
Connecticut,2024-01-11,82350200.0,XGBoost
Connecticut,2024-01-12,82288328.0,XGBoost
Connecticut,2024-01-13,81848920.0,XGBoost
Connecticut,2024-01-14,81476992.0,XGBoost
Connecticut,2024-01-15,81320648.0,XGBoost
Connecticut,2024-01-16,81323744.0,XGBoost
Connecticut,2024-01-17,81346048.0,XGBoost
Connecticut,2024-01-18,81312216.0,XGBoost
Connecticut,2024-01-19,81312224.0,XGBoost
Connecticut,2024-01-20,81349152.0,XGBoost
Connecticut,2024-01-21,81415208.0,XGBoost
Connecticut,2024-01-22,81578160.0,XGBoost
Connecticut,2024-01-23,81641928.0,XGBoost
Connecticut,2024-01-24,81599400.0,XGBoost
Connecticut,2024-01-25,81598480.0,XGBoost
Connecticut,2024-01-26,81598480.0,XGBoost
Connecticut,2024-01-27,81567272.0,XGBoost
Connecticut,2024-01-28,81455504.0,XGBoost
Florida,2023-12-04,728628021.6064562,SARIMA
Florida,2023-12-05,728206419.3370403,SARIMA
Florida,2023-12-06,727799118.5292004,SARIMA
Florida,2023-12-07,727400342.6126168,SARIMA
Florida,2023-12-08,727007084.9086894,SARIMA
Florida,2023-12-09,726617393.1117905,SARIMA
Florida,2023-12-10,726230005.6285762,SARIMA
Florida,2023-12-11,725854832.845406,SARIMA
Florida,2023-12-12,725446967.7639235,SARIMA
Florida,2023-12-13,725044862.6795558,SARIMA
Florida,2023-12-14,724645961.3577906,SARIMA
Florida,2023-12-15,724249137.1051526,SARIMA
Florida,2023-12-16,723853655.0688915,SARIMA
Florida,2023-12-17,723459040.3820986,SARIMA
Florida,2023-12-18,723081757.6520438,SARIMA
Florida,2023-12-19,722670699.3914179,SARIMA
Florida,2023-12-20,722267549.9048066,SARIMA
Florida,2023-12-21,721868937.8082722,SARIMA
Florida,2023-12-22,721473265.2980571,SARIMA
Florida,2023-12-23,721079492.3687694,SARIMA
Florida,2023-12-24,720686946.9617617,SARIMA
Florida,2023-12-25,720310292.6780703,SARIMA
Florida,2023-12-26,719900147.0176166,SARIMA
Florida,2023-12-27,719497305.1702161,SARIMA
Florida,2023-12-28,719098624.9875796,SARIMA
Florida,2023-12-29,718702641.3962424,SARIMA
Florida,2023-12-30,718308400.3607773,SARIMA
Florida,2023-12-31,717915285.3769195,SARIMA
Florida,2024-01-01,717538459.2179103,SARIMA
Florida,2024-01-02,717128062.2851634,SARIMA
Florida,2024-01-03,716725136.1505373,SARIMA
Florida,2024-01-04,716326475.3787011,SARIMA
Florida,2024-01-05,715930578.2635556,SARIMA
Florida,2024-01-06,715536467.0424002,SARIMA
Florida,2024-01-07,715143509.8782425,SARIMA
Florida,2024-01-08,714766731.3952303,SARIMA
Florida,2024-01-09,714356404.0820199,SARIMA
Florida,2024-01-10,713953501.3204284,SARIMA
Florida,2024-01-11,713554835.2019001,SARIMA
Florida,2024-01-12,713158914.1659491,SARIMA
Florida,2024-01-13,712764767.0212678,SARIMA
Florida,2024-01-14,712371766.1773437,SARIMA
Florida,2024-01-15,711994974.5015057,SARIMA
Florida,2024-01-16,711584627.9195243,SARIMA
Florida,2024-01-17,711181718.689848,SARIMA
Florida,2024-01-18,710783054.0526141,SARIMA
Florida,2024-01-19,710387139.6391164,SARIMA
Florida,2024-01-20,709993002.4391409,SARIMA
Florida,2024-01-21,709600013.686785,SARIMA
Florida,2024-01-22,709223225.6631417,SARIMA
Florida,2024-01-23,708812884.4151933,SARIMA
Florida,2024-01-24,708409976.9760731,SARIMA
Florida,2024-01-25,708011311.9288529,SARIMA
Florida,2024-01-26,707615395.6821961,SARIMA
Florida,2024-01-27,707221255.7293975,SARIMA
Florida,2024-01-28,706828263.6299254,SARIMA
Georgia,2023-12-04,363709573.63837045,SARIMA
Georgia,2023-12-05,363587490.764834,SARIMA
Georgia,2023-12-06,363471483.44419724,SARIMA
Georgia,2023-12-07,363358716.44579136,SARIMA
Georgia,2023-12-08,363248037.84011286,SARIMA
Georgia,2023-12-09,363138694.1786985,SARIMA
Georgia,2023-12-10,363030203.8415481,SARIMA
Georgia,2023-12-11,362926237.3311305,SARIMA
Georgia,2023-12-12,362809683.25739247,SARIMA
Georgia,2023-12-13,362695820.0797311,SARIMA
Georgia,2023-12-14,362583189.98059714,SARIMA
Georgia,2023-12-15,362471361.04467076,SARIMA
Georgia,2023-12-16,362360044.22900534,SARIMA
Georgia,2023-12-17,362249054.77131003,SARIMA
Georgia,2023-12-18,362144129.15167814,SARIMA
Georgia,2023-12-19,362026462.44596386,SARIMA
Georgia,2023-12-20,361912225.7690885,SARIMA
Georgia,2023-12-21,361799656.6643233,SARIMA
Georgia,2023-12-22,361688167.47025067,SARIMA
Georgia,2023-12-23,361577368.5776553,SARIMA
Georgia,2023-12-24,361467010.94018626,SARIMA
Georgia,2023-12-25,361362334.0883197,SARIMA
Georgia,2023-12-26,361244947.7737246,SARIMA
